                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.47469,                0.26724,                0.85474,                0.99747,                      1,                  0.995,                0.91333,                0.47653,                0.22684,                0.81018,              0.0006766,              0.0006766,              0.0006766
                    101,                0.48074,                0.26537,                0.85446,                0.99591,                      1,                  0.995,                0.90459,                0.49149,                0.25201,                0.82342,              0.0006733,              0.0006733,              0.0006733
                    102,                0.48352,                0.27363,                 0.8585,                0.99602,                      1,                  0.995,                0.91286,                0.48375,                0.24266,                0.82386,                0.00067,                0.00067,                0.00067
                    103,                0.48002,                0.26616,                0.85173,                0.99714,                      1,                  0.995,                0.92453,                 0.4425,                0.21852,                0.81003,              0.0006667,              0.0006667,              0.0006667
                    104,                 0.4797,                0.26974,                0.85554,                0.99719,                      1,                  0.995,                0.92257,                0.44668,                0.21341,                0.81236,              0.0006634,              0.0006634,              0.0006634
                    105,                0.47363,                0.26663,                0.85282,                0.99743,                      1,                  0.995,                 0.9104,                0.47188,                0.21947,                0.81065,              0.0006601,              0.0006601,              0.0006601
                    106,                0.46088,                 0.2585,                0.84954,                0.99788,                      1,                  0.995,                0.91737,                0.43728,                0.20985,                0.80908,              0.0006568,              0.0006568,              0.0006568
                    107,                0.45932,                0.25759,                0.84812,                0.99713,                      1,                  0.995,                0.89173,                0.50944,                0.22566,                0.81905,              0.0006535,              0.0006535,              0.0006535
                    108,                0.47608,                0.26958,                0.84872,                0.99731,                      1,                  0.995,                0.90419,                0.49563,                0.23477,                0.81457,              0.0006502,              0.0006502,              0.0006502
                    109,                0.46065,                0.25798,                0.84915,                 0.9973,                      1,                  0.995,                0.91922,                0.46042,                0.22565,                0.81801,              0.0006469,              0.0006469,              0.0006469
                    110,                0.47258,                0.26681,                0.84877,                0.99748,                      1,                  0.995,                0.90299,                0.49423,                0.22848,                0.81752,              0.0006436,              0.0006436,              0.0006436
                    111,                0.46476,                0.26493,                 0.8501,                0.99788,                      1,                  0.995,                0.90573,                0.47747,                0.22219,                0.81973,              0.0006403,              0.0006403,              0.0006403
                    112,                0.46813,                 0.2715,                0.84655,                0.99502,                0.98721,                  0.995,                 0.9031,                 0.5156,                0.26066,                 0.8416,               0.000637,               0.000637,               0.000637
                    113,                0.46286,                0.26313,                0.85065,                0.99689,                      1,                  0.995,                0.91868,                0.45176,                0.22975,                0.81607,              0.0006337,              0.0006337,              0.0006337
                    114,                0.46793,                0.26426,                0.85163,                0.99701,                      1,                  0.995,                0.91447,                0.44297,                0.24171,                0.81928,              0.0006304,              0.0006304,              0.0006304
                    115,                0.45827,                0.26139,                0.84988,                0.99843,                      1,                  0.995,                0.90987,                0.45574,                0.22723,                0.81062,              0.0006271,              0.0006271,              0.0006271
                    116,                0.45043,                0.25262,                0.84737,                0.99803,                      1,                  0.995,                0.91447,                 0.4582,                0.22882,                0.81004,              0.0006238,              0.0006238,              0.0006238
                    117,                0.46327,                0.25939,                0.85079,                 0.9978,                      1,                  0.995,                0.90808,                0.48355,                0.22556,                0.81604,              0.0006205,              0.0006205,              0.0006205
                    118,                0.46977,                0.25937,                 0.8521,                0.99749,                      1,                  0.995,                0.91579,                0.46253,                0.22926,                0.80805,              0.0006172,              0.0006172,              0.0006172
                    119,                0.46543,                0.25832,                0.84422,                 0.9984,                      1,                  0.995,                0.91283,                0.46916,                0.21641,                0.81561,              0.0006139,              0.0006139,              0.0006139
                    120,                0.48596,                0.26682,                0.85214,                0.99668,                      1,                  0.995,                0.89172,                0.54741,                0.24481,                0.82463,              0.0006106,              0.0006106,              0.0006106
                    121,                0.46682,                 0.2708,                0.85702,                0.99679,                      1,                  0.995,                0.91745,                0.47439,                0.21628,                 0.8243,              0.0006073,              0.0006073,              0.0006073
